GameID,PlayerName,W-L,EarnedRuns,InningsPitched,TBF,ERA,TotalPitches,Strikes,Balls,FoulsAfter2Strikes,HitBatters,Strike%,Ball%,FirstPitchStrikes,FirstPitchBalls,FirstPitchStrike%,FirstPitchBall%,First2of3StrikesOrInPlay,AtBatEfficiency,AtBatEfficiency%,Strikeouts,Walks,HomeRuns,Strikeout%,Walk%,FIP,Swings,Whiffs,Whiff%,CalledStrikes,CSW%,InZoneSwings,InZoneWhiffs,IZWhiff%,OutZoneSwings,OutZonePitches,Chase%,FBnVAA,FBVAAUpper,FBVAAMid,FBVAALower,Fastballs,FastballAvgVelo,FastballMaxVelo,FastballMinVelo,FastballAvgIVB,FastballMaxIVB,FastballMinIVB,FastballAvgHB,FastballMaxHB,FastballMinHB,FastballAvgSpin,FastballMaxSpin,FastballMinSpin,FastballInZone,FastballInZone%,FastballAvgReleaseHeight,FastballAvgExtension,Cutters,CutterAvgVelo,CutterMaxVelo,CutterMinVelo,CutterAvgIVB,CutterMaxIVB,CutterMinIVB,CutterAvgHB,CutterMaxHB,CutterMinHB,CutterAvgSpin,CutterMaxSpin,CutterMinSpin,CutterInZone,CutterInZone%,CutterAvgReleaseHeight,CutterAvgExtension,Sinkers,SinkerAvgVelo,SinkerMaxVelo,SinkerMinVelo,SinkerAvgIVB,SinkerMaxIVB,SinkerMinIVB,SinkerAvgHB,SinkerMaxHB,SinkerMinHB,SinkerAvgSpin,SinkerMaxSpin,SinkerMinSpin,SinkerInZone,SinkerInZone%,SinkerAvgReleaseHeight,SinkerAvgExtension,Sliders,SliderAvgVelo,SliderMaxVelo,SliderMinVelo,SliderAvgIVB,SliderMaxIVB,SliderMinIVB,SliderAvgHB,SliderMaxHB,SliderMinHB,SliderAvgSpin,SliderMaxSpin,SliderMinSpin,SliderInZone,SliderInZone%,SliderAvgReleaseHeight,SliderAvgExtension,PA,AB,H,TB,1B,2B,3B,HR,RBI,BB,K,HBP,SF,SH,GDP,AVG,BB%,K%,OBP,SLG,OPS,ISO,BABIP,wOBA,AvgExitVelocity,AvgLaunchAngle
20240308-700-HughAdamsPark-1,"Guejardo, Alex",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,2,0,1,0,0,3,0,1,1,0,0,0,0.25,0.0,20.0,0.4,0.5,0.9,0.25,0.3333333333333333,0.394,69.011772,18.2327364
20240308-700-HughAdamsPark-1,"Baker, Cade",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,72.654455,11.7494715
20240308-700-HughAdamsPark-1,"Sowell, Kolbie",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,1,1,0,0,0,1,1,0,0,0,0,0.6666666666666666,25.0,25.0,0.75,1.0,1.75,0.33333333333333337,1.0,0.705,75.07892399999999,6.0725172
20240308-700-HughAdamsPark-1,"Olivarez, JJ",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,25.0,25.0,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,0.39249999999999996,73.33994714285714,28.18104814285714
20240308-700-HughAdamsPark-1,"Ballard, Jason",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,25.0,25.0,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,0.39249999999999996,81.03228,25.008473
20240308-700-HughAdamsPark-1,"Jones, Shane",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,60.38262,-35.486143
20240308-700-HughAdamsPark-1,"Galbriath, Ryan",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0.3333333333333333,25.0,25.0,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,0.39249999999999996,80.74427333333334,7.543458333333334
20240308-700-HughAdamsPark-1,"Pearce, Evan",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,71.97009,1.0518034
20240308-700-HughAdamsPark-1,"Amencia, Damien",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,6,0,1,0,1,3,0,0,0,0,0,0,0.5,0.0,0.0,0.5,1.5,2.0,1.0,0.3333333333333333,0.825,92.3650925,31.57894025
20240308-700-HughAdamsPark-1,"Lozano, Ashton",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0.3333333333333333,25.0,25.0,0.5,0.3333333333333333,0.8333333333333333,0.0,0.5,0.39249999999999996,72.01835,42.65606966666667
20240308-700-HughAdamsPark-1,"Rodriguez, Gabriel",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0.25,0.0,0.0,0.25,0.5,0.75,0.25,0.25,0.3125,81.83829399999999,10.9278528
20240308-700-HughAdamsPark-1,"Zarella, Tristian",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0.0,50.0,0.0,0.75,0.0,0.75,0.0,0.0,0.5249999999999999,49.944935,25.9505275
20240308-700-HughAdamsPark-1,"Stewart, Tyler",0-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,2,0,0,0,1,1,0,0,0,0,0,0.6666666666666666,25.0,0.0,0.75,0.6666666666666666,1.4166666666666665,0.0,0.6666666666666666,0.6125,70.27952666666667,5.544772833333334
